Day,Month,Airline,flightclass,capacity,timediff,night1,season,delayed
0,7,4,DOM,37,20,0,Summer,0
1,7,4,DOM,34,23,0,Summer,0
5,7,4,DOM,37,26,0,Summer,0
6,7,4,DOM,42,80,0,Summer,1
0,7,4,DOM,34,30,0,Summer,0
2,7,4,DOM,37,26,0,Summer,0
3,7,4,DOM,23,52,0,Summer,1
1,7,4,DOM,23,25,0,Summer,0
5,7,4,DOM,29,18,0,Summer,0
6,7,4,DOM,36,16,0,Summer,0
4,5,4,DOM,31,23,0,Summer,0
0,5,4,DOM,34,22,0,Summer,0
2,5,4,DOM,36,33,0,Summer,0
3,5,4,DOM,29,116,0,Summer,1
1,5,4,DOM,36,17,0,Summer,0
5,5,4,DOM,30,15,0,Summer,0
6,5,4,DOM,26,19,0,Summer,0
4,5,4,DOM,29,20,0,Summer,0
0,5,4,DOM,33,15,0,Summer,0
2,5,4,DOM,39,21,0,Summer,0
3,5,4,DOM,15,166,0,Summer,1
1,5,4,DOM,35,32,0,Summer,0
5,5,4,DOM,36,27,0,Summer,0
6,5,4,DOM,26,13,0,Summer,0
4,5,4,DOM,33,28,0,Summer,0
0,5,4,DOM,36,24,0,Summer,0
2,5,4,DOM,32,23,0,Summer,0
3,5,4,DOM,35,117,0,Summer,1
1,5,4,DOM,21,20,0,Summer,0
5,5,4,DOM,38,29,0,Summer,0
6,5,4,DOM,37,25,0,Summer,0
4,5,4,DOM,0,23,0,Summer,0
0,5,4,DOM,35,21,0,Summer,0
2,5,4,DOM,36,23,0,Summer,0
3,5,4,DOM,34,105,0,Summer,1
1,5,4,DOM,30,25,0,Summer,0
5,5,4,DOM,33,111,0,Summer,1
4,5,4,DOM,35,23,0,Summer,0
2,4,4,DOM,46,38,0,Summer,0
3,4,4,DOM,25,119,0,Summer,1
5,4,4,DOM,27,23,0,Summer,0
6,4,4,DOM,42,34,0,Summer,0
4,4,4,DOM,49,32,0,Summer,0
0,4,4,DOM,52,60,0,Summer,1
2,4,4,DOM,49,19,0,Summer,0
3,4,4,DOM,41,115,0,Summer,1
1,4,4,DOM,37,30,0,Summer,0
5,4,4,DOM,35,21,0,Summer,0
6,4,4,DOM,39,21,0,Summer,0
4,4,4,DOM,39,26,0,Summer,0
0,4,4,DOM,50,28,0,Summer,0
2,4,4,DOM,32,36,0,Summer,0
3,4,4,DOM,32,121,0,Summer,1
1,4,4,DOM,32,24,0,Summer,0
5,4,4,DOM,36,24,0,Summer,0
6,4,4,DOM,39,7,0,Summer,0
